en	hu	la	pl	ja	zh	num	s	l	def	%comment
breath	le1legzet	spiritus	oddech	iki 息	qi4xi1 气息	1500	e	N	air, in lung, from lung	%
breathe	le1legzik	spiro	oddechac1	kokyú-suru 呼吸する	hu1xi1 呼吸	1501	c	U	breath	%
bright	vila1gos	clarus	jasny	akarui 明るい	ming2liang4 明亮	2629	e	A	shine	%
broadcast	suga1roz	emitto	emitowac1	hósó 放送	guang3bo1 广播	2135	e	V	signal, <radio,television> receive	%
brush	kefe	peniculus	szczotka	burashi ブラシ	shua1zi 刷子	1277	e	N	device, has hair/3359, has handle, clean ins_, polish ins_, paint ins_	%
building	e1pu2let	aedificium	budynek	tatemono 建物	jian4zhu4 建筑	3125	c	N	artefact, structure, has roof, has more(wall), <house>	%
bullet	golyo1	glans	pocisk	dangan 弾丸	zi3dan4 子弹	901	e	N	artefact, metal, from gun	%
burn	e1g	ardeo	palic1	moeru (intranz) 燃える	shao1hui3 烧毁	497	c	U	fire, <=agt wood, after(ash)>	%
bus	busz	autocarrus	autobus	basu バス	gong1gong4qi4che1 公共汽车	356	e	N	vehicle, more(passenger) in, has engine, has regular(way)	%
business	u2zlet	negotium	biznes	kigyó 企業	qi3ye4 企业	2974	e	N	organization, make money	%
buttocks	fene1k	puga	tyl1ek	shiri 尻	pi4gu 屁股	3363	e	N	organ, sit on	%
buy	vesz	emo	kupowac1	kau 買う	mai3 买	2609	e	V	=agt receive =pat, =agt pay seller, "from _" mark_ seller	%
buyer	vevo3	emptor	kupujac1y	kónyúsha 購入者	mai3fang1 买方	3628	u	N	=agt, buy, -er/3627	%
calculate	sza1mol	calculo	obliczac1	keisan-suru 計算する	ji4suan4 计算	2141	e	V	=agt cause_ {=agt know =pat[number]}	%
calm	nyugodt	tranquillus	spokojny	shizuka-na 静かな	zhen4jing4 镇静	1827	c	A	quiet, lack motion, lack angry, lack nervous, lack upset	%
camera	kamera	cinematographica_machinula	kamera	kamera カメラ	zhao4xiang4ji1 照相机	1221	c	N	machine, make photograph, has lens	%
can	ke1pes	potest	mo1c	dekiru できる	hui4 会	1246	u	V	<do>	%
can	konzerv	cibus_conservatus	puszka	kan 缶	guan4tou 罐头	1427	u	N	cylinder, metal, contain [<food>,<drink>]	%
car	auto1	automobile	samocho1d	jidósha 自動車	qi4che1 汽车	184	e	N	vehicle, has four(wheel), <has engine>	%
carbon	sze1n	carboneum	we1giel	sekitan 石炭	tan4 碳	3426	e	N	material, element, coal is_a, diamond is_a, graphite is_a	%
care	a1pol	curo	piele1gnowac1	sewa o suru 世話をする、kaigo o suru 介護をする	zhao4guan3 照管	82	e	V	help, =pat[sick], =agt want {=pat feel good}, =agt think =pat[important]	%
carry	hord	fero	nosic1	hakobu 運ぶ	yun4song4 运送	1080	e	V	hold, transport	%
cause	ok	causa	powo1d	gen'in 原因	yuan2yin1 原因	1891	u	N	reason	%
cause_	okoz	efficio	spowodowac1	hikiokosu 引き起こす	shi3 使	3290	u	V	before(=agt), after(=pat)	%naive
centre	ko2ze1ppont	centrum	centrum	chúshin 中心	zhong1xin1 中心	1412	c	N	middle	%
cereal	gabona	frumentum	zboz1e	kokumotsu 穀物	gu3lei4 谷类	3340	e	N	plant, <at farm>, make food, wheat is_a, rice is_a	%
chair	sze1k	sella	krzesl1o	isu 椅子	yi3zi 椅子	2163	e	N	furniture, sit ins_, has seat, has leg(four), has <back>, support person	%
change	va1ltoztat	muto	zmieniac1	kaeru 変える	gai3bian4 改变	2554	u	V	after(=pat[different])	%
characteristic	tulajdonsa1g	proprium	charakterystyka	tokuchó 特徴	te4xing4 特性	3352	e	N	is_a	%
chew	ra1g	rodo	z1uc1	kamu 噛む	ju3jue2	1983	e	N	bite, cause_ {=pat[liquid]}	%
